"1",,,,,,,,,,,,,,,,,,
"3","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"6","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"41","P","P","P","P","P","P","P","P","A","A","P","P","P","P","P",,"P","P"
"51","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"54","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"68",,,,,,,,,,,,,,,,,,
"69","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"74","P","P","P","P","A","P","P","P","P","P","P","P","P","P","P",,"P","P"
"75","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"76","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"77","P","P","P","P","A","P","P","P","P","P","P","P","P","P","P",,"P","P"
"82","P","P","P","P","P","P","P","A","P","P","P","P","P","P","P",,"P","P"
"83","P","P","P","P","A","P","P","P","P","P","P","P","P","P","P",,"P","P"
"85","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"89","P","P","P","P",,"P","P","P","P","A","P","P","P","P","P",,"P","P"
"97","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"98","P","P","P","P","A","P","P","P","P","P","P","P","P","P","P",,"P","P"
"99","P","P","P","P","P","P","P","P","P","S","S","S","S","P","P",,"P","P"
"100","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"101",,,,,,,,,,,,,,,,,,
"102",,,,,,,,,,,,,,,,,,
"103","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"104",,,,,,,,,,,,,,,,,,
"110",,,,,,,,,,,,,,,,,,
"111","P","P","P","P",,"P","P","P","P","P","P","P","P","P","P",,"P","P"
"115","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P",,"P","P"
"121",,,,,,,,,,,,,,,,,,
